#,Speaker,Company,Stage,Conference,Location,Date
56,Christine Moy,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
57,Christoph Schlegel,Flashbots,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
58,Chunda McCain,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
59,Claire Balva,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
60,Clement Lesaege,Kleros,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
61,Conor,Coinbase,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
62,Constantin Dubus,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
63,Corinne Powers,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
64,Costanza,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
65,CPerezz,Ethereum Foundation,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
66,Cyrille Brière,f(x,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
67,Daiki Endo,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
68,Dan Ligocky,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
69,Dana Condrea,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
70,Daniel Elkins,DGRS Labs,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
71,Daniel Von Fange,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
72,David Leonardi,Polygon,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
73,David Mühlbacher,Stereum Services FlexCo,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
74,David Pearce,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
75,Dayan Brunie,Consensys,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
76,Deca,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
77,Declan Fox,Linea,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
78,Dee_centralized,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
79,Definikola,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
80,Denitza Valjavec,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
81,Derek Sorensen,Ethereum Foundation,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
82,Devansh Mehta,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
83,Devon Martens,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
84,Dima Gusakov,Lido,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
85,DMH,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
86,Doo Wan Nam,StableDAO,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
87,Drake Breeding,Arc,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
88,Dyma Budorin,Hacken,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
89,E.G.,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
90,Ece Orsel,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
91,Ed Felten,Offchain Labs,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
92,Ekleen Kaur,Amazon Web Services,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
93,Ellie Davidson,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
94,Emilio Frangella,Aave Labs,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
95,Emma Landriault,J.P. Morgan Chase,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
96,Eric Zhong,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
97,Ernesto García,OpenZeppelin,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
98,Ernesto Olmedo Pereira,SG Forge,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
99,Eugene Joo,Fhenix,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
100,Everton Fraga,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
101,Fabrizio Romano Genovese,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
102,Faustine Fleuret,Adan,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
103,Federico Ast,Kleros,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
104,Fisher Yu,Babylon,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
105,Florian Glatz,European Crypto Initiative,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
106,Fredrik Haga,Dune Analytics,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
107,Friederike Ernst,Gnosis,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
108,Gajinder Singh,Ethereum Foundation,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
109,Gauthier Leonard,Suzaku,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
110,Gauthier Vila,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
111,Gio,Parity Technologies,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
112,Gori,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
113,Greg Swirski,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
114,Griff,Giveth / TheDAO,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
115,Gwen,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
116,Gísli Kristjánsson,Monerium,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
117,Han,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
118,Harry Horsfall,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
119,Hayat Outahar,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
120,Henri Lieutaud,Blockchain Oracle Summit,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
121,Hester Bruikman,Ethereum Foundation,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
122,Hildobby,Dragonfly,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
123,Hong Kim,Hashed,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
124,Ishan Sharma,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
125,IVa,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
126,Izzy Lido,Lido,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
127,jacobc.eth,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
128,Jake O,BitGo,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
129,Jake Salerno,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
130,James Wo,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
131,Jan Gorzny,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
